ZIP Code,County
47308,Delaware
47320,Delaware
47322,Fayette
47324,Wayne
47325,Union
47326,Jay
47327,Wayne
47330,Wayne
47331,Fayette
47334,Delaware
47335,Wayne
47336,Jay
47337,Henry
47338,Delaware
47339,Wayne
47340,Randolph
47341,Wayne
47342,Delaware
47344,Henry
47345,Wayne
47346,Wayne
47348,Blackford
47351,Henry
47352,Henry
47353,Union
47354,Randolph
47355,Randolph
47356,Henry
47357,Wayne
47358,Randolph
47359,Blackford
47360,Henry
47361,Henry
47362,Henry
47366,Henry
47367,Delaware
47368,Randolph
47369,Jay
47370,Wayne
47371,Jay
47373,Jay
47374,Wayne
47375,Wayne
47380,Randolph
47381,Jay
47382,Randolph
47383,Delaware
47384,Henry
47385,Henry
47386,Henry
47387,Henry
47388,Henry
47390,Randolph
47392,Wayne
47393,Wayne
47394,Randolph
47396,Delaware
47401,Monroe
47402,Monroe
47403,Monroe
47404,Monroe
47405,Monroe
47406,Monroe
47407,Monroe
47408,Monroe
47420,Lawrence
47421,Lawrence
47424,Greene
47426,Monroe
47427,Owen
47429,Monroe
47431,Owen
47432,Orange
47433,Owen
47434,Monroe
47435,Brown
47436,Lawrence
47437,Lawrence
47438,Greene
47439,Greene
47441,Greene
47443,Greene
47445,Greene
47446,Lawrence
47448,Brown
47449,Greene
47451,Lawrence
47452,Orange
47453,Greene
47454,Orange
47455,Owen
47456,Owen
47457,Greene
47458,Monroe
47459,Greene
47460,Owen
47462,Lawrence
47463,Monroe
47464,Monroe
47465,Greene
47467,Lawrence
47468,Monroe
47469,Orange
47470,Lawrence
47471,Greene
47501,Daviess
47512,Knox
47513,Dubois
47514,Perry
47515,Perry
47516,Knox
47519,Daviess
47520,Perry
47521,Dubois
47522,Martin
47523,Spencer
47524,Knox
47525,Perry
47527,Dubois
47528,Knox
47529,Daviess
47531,Spencer
47532,Dubois
47535,Knox
47536,Spencer
47537,Spencer
47541,Dubois
47542,Dubois
47545,Dubois
47546,Dubois
47547,Dubois
47549,Dubois
47550,Spencer
47551,Perry
47552,Spencer
47553,Martin
47556,Spencer
47557,Knox
47558,Daviess
47561,Knox
47562,Daviess
47564,Pike
47567,Pike
47568,Daviess
47573,Knox
47574,Perry
47575,Dubois
47576,Perry
47577,Spencer
47578,Knox
47579,Spencer
47580,Dubois
47581,Martin
47584,Pike
47585,Pike
47586,Perry
47588,Spencer
47590,Pike
47591,Knox
47596,Knox
47597,Knox
47598,Pike
47601,Warrick
47610,Warrick
47611,Spencer
47612,Posey
47613,Warrick
47615,Spencer
47616,Posey
47617,Spencer
47618,Vanderburgh
47619,Warrick
47620,Posey
47629,Warrick
47630,Warrick
47631,Posey
47633,Posey
47634,Spencer
47635,Spencer
47637,Warrick
47638,Posey
47639,Gibson
47640,Gibson
47647,Gibson
47648,Gibson
47649,Gibson
47654,Gibson
47660,Gibson
47665,Gibson
47666,Gibson
47670,Gibson
47683,Gibson
47701,Vanderburgh
47702,Vanderburgh
47703,Vanderburgh
47704,Vanderburgh
47705,Vanderburgh
47706,Vanderburgh
47708,Vanderburgh
47710,Vanderburgh
47711,Vanderburgh
47712,Vanderburgh
47713,Vanderburgh
47714,Vanderburgh
47715,Vanderburgh
47716,Vanderburgh
47719,Vanderburgh
47720,Vanderburgh
47721,Vanderburgh
47722,Vanderburgh
47724,Vanderburgh
47725,Vanderburgh
47728,Vanderburgh
47730,Vanderburgh
47731,Vanderburgh
47732,Vanderburgh
47733,Vanderburgh
47734,Vanderburgh
47735,Vanderburgh
47736,Vanderburgh
47737,Vanderburgh
47740,Vanderburgh
47747,Vanderburgh
47750,Vanderburgh
47801,Vigo
47802,Vigo
47803,Vigo
47804,Vigo
47805,Vigo
47807,Vigo
47808,Vigo
47809,Vigo
47830,Parke
47831,Vermillion
47832,Parke
47833,Clay
47834,Clay
47836,Parke
47837,Clay
47838,Sullivan
47840,Clay
47841,Clay
47842,Vermillion
47845,Clay
47846,Clay
47847,Vermillion
47848,Sullivan
47849,Sullivan
47850,Sullivan
47851,Vigo
47852,Sullivan
47853,Clay
47854,Vermillion
47855,Sullivan
47857,Clay
47858,Vigo
47859,Parke
47860,Parke
47861,Sullivan
47862,Parke
47863,Vigo
47865,Sullivan
47866,Vigo
47868,Clay
47869,Vigo
47870,Vigo
47871,Vigo
47872,Parke
47874,Parke
47875,Vermillion
47876,Vigo
47878,Vigo
47879,Sullivan
47880,Vigo
47881,Clay
47882,Sullivan
47884,Vermillion
47885,Vigo
47901,Tippecanoe
47902,Tippecanoe
47903,Tippecanoe
47904,Tippecanoe
47905,Tippecanoe
47906,Tippecanoe
47907,Tippecanoe
47909,Tippecanoe
47916,Montgomery
47917,Benton
47918,Fountain
47920,Tippecanoe
47921,Benton
47922,Newton
47923,White
47924,Tippecanoe
47925,White
47926,White
47928,Vermillion
47929,White
47930,Tippecanoe
47932,Fountain
47933,Montgomery
47940,Montgomery
47941,Tippecanoe
47942,Benton
47943,Jasper
47944,Benton
47946,Pulaski
47948,Newton
47949,Fountain
47950,White
47951,Newton
47952,Fountain
47954,Montgomery
47955,Montgomery
47957,Pulaski
47958,Fountain
47959,White
47960,White
47962,Tippecanoe
47963,Newton
47964,Newton
47965,Montgomery
47966,Vermillion
47967,Montgomery
47968,Montgomery
47969,Fountain
47970,Benton
47971,Benton
47974,Vermillion
47975,Warren
47977,Jasper
47978,Jasper
47980,White
47981,Tippecanoe
47982,Warren
47983,Tippecanoe
47984,Benton
47986,Benton
47987,Fountain
47988,Fountain
47989,Montgomery
47990,Montgomery
47991,Warren
47992,Tippecanoe
47993,Warren
47994,Montgomery
47995,White
47996,Tippecanoe
47997,Carroll
